,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
104716,53000,Iziane Castro Marques,F,22.0,181.0,69.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
104717,53000,Iziane Castro Marques,F,34.0,181.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
105955,53600,Janeth dos Santos Arcain,F,23.0,182.0,67.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
105958,53600,Janeth dos Santos Arcain,F,35.0,182.0,67.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
106508,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,32.0,186.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
111056,56186,Juciely Cristina Silva Barreto,F,35.0,184.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
111170,56248,Juliana Ribeiro Cabral,F,18.0,169.0,60.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
113587,57530,Karen Gustavo Rocha Valente,F,24.0,177.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
113683,57588,Karla Cristina Martins da Costa,F,25.0,173.0,65.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
113684,57588,Karla Cristina Martins da Costa,F,29.0,173.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
113685,57588,Karla Cristina Martins da Costa,F,33.0,173.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
